AccessionVersion,Size,nºBGCs,TaxPhylum,
NC_016113.1,1809491,16,Actinobacteria
NC_017585.1,1812548,15,Actinobacteria
NC_017589.1,1959334,8,Proteobacteria
NZ_CP016560.1,707056,8,Actinobacteria
NZ_LN868939.1,2657929,7,Actinobacteria
NZ_CP016905.1,2145732,7,Proteobacteria
NC_003296.1,2094509,7,Proteobacteria
NZ_CP015116.1,2093441,7,Proteobacteria
NC_021745.1,2089828,7,Proteobacteria
NZ_CP016555.1,2075659,7,Proteobacteria
NZ_CP016915.1,2061090,7,Proteobacteria
NZ_CP016613.1,2000873,7,Proteobacteria
NZ_CP009763.1,1936579,7,Proteobacteria
NZ_CP012182.1,874997,7,Actinobacteria
NC_014309.1,2163376,6,Proteobacteria
NC_014310.1,2085000,6,Proteobacteria
NZ_CP021449.1,2066085,6,Proteobacteria
NZ_CP012688.1,1999545,6,Proteobacteria
NC_017575.1,1949172,6,Proteobacteria
NZ_CP015851.1,1907366,6,Proteobacteria
NC_013855.1,1455109,6,Proteobacteria
NC_017958.1,1126962,6,Proteobacteria
NZ_CP012185.1,850061,6,Actinobacteria
NC_007974.2,2580084,5,Proteobacteria
NZ_CP012944.1,2069788,5,Proteobacteria
NZ_CP023068.1,2011513,5,Proteobacteria
NZ_CP012940.1,1932001,5,Proteobacteria
NC_021289.1,1275199,5,Proteobacteria
NC_014718.1,822304,5,Proteobacteria
NZ_CP023072.1,742947,5,Proteobacteria
NZ_CP013109.1,586526,5,Proteobacteria
NZ_CP007513.1,577809,5,Firmicutes
NZ_CP013053.1,547106,5,Proteobacteria
NZ_CP006880.1,2466951,4,Proteobacteria
NZ_CP017105.1,2388366,4,Proteobacteria
NC_016815.1,2096125,4,Proteobacteria
NC_020062.1,2083197,4,Proteobacteria
NZ_CP013104.1,2011268,4,Proteobacteria
NZ_CP014703.1,1883432,4,Proteobacteria
NZ_CP015881.1,1736943,4,Proteobacteria
NZ_CP023064.1,1501701,4,Proteobacteria
NC_015727.1,1499175,4,Proteobacteria
NZ_CP021830.1,1484605,4,Proteobacteria
NZ_CP007795.1,933960,4,Proteobacteria
